unit,vehicle,serial_no,description,axle_position,measure_date,pan_size,since
220001,60301,M66000325RG,POWER WHEELSET B5005  (ROT),2,22/05/2017,780.6,133803
220001,60301,M66000326RG,POWER SANDER WHEELSET B5005  (ROT),3,22/05/2017,780.48,133803
220005,60405,M66000186R,POWER WHEELSET B5005  (ROT),2,22/05/2017,780.44,137929
220005,60405,M66000015,POWER SANDER WHEELSET B5005  (ROT),3,22/05/2017,780.58,830891
220007,60207,M66000042,POWER WHEELSET B5005  (ROT),2,22/05/2017,780.5,1091015
220018,60418,M66060041,TRAILING WHEELSET B5005 A/B (ROT),4,22/05/2017,780.68,137275
220024,60224,M66000263R,POWER WHEELSET B5005  (ROT),3,22/05/2017,780.62,765146
220027,60727,M66060060,TRAILING WHEELSET B5005 A/B (ROT),4,22/05/2017,780.42,120705
220032,60332,M66060162G,TRAILING LGUARDWHEELSET B5005  (ROT),1,22/05/2017,780.5,110840
221132,60482,M66020051,POWERED WHEELSET HVP A/B/C (ROT),2,22/05/2017,860.5,126198
221132,60482,B6053.75,POWERED WHEELSET HVP A/B/C (ROT),3,22/05/2017,860.47,126198
221138,60988,M66040191,TRAILING WHEELSET HVP A/B/C (ROT),1,11/08/2017,852,277449
221135,60885,B6944.70,TRAILING WHEELSET HVP,1,25/09/2017,860.35,33616
221110,60360,B2431.66,POWERED WHEELSET HVP A/B/C (ROT),2,07/07/2017,818.03,957486
221134,60384,M66020014,POWERED WHEELSET HVP A/B/C (ROT),2,13/03/2017,823.12,669986
220024,60224,M66060131,TRAILING WHEELSET B5005 A/B (ROT),4,24/07/2017,780.67,86238
220024,60424,M66060243G,TRAILING WHEELSET B5005 A/B (ROT),4,24/07/2017,780.73,86238
220031,60331,M66000253R,POWER SANDER WHEELSET B5005  (ROT),3,24/07/2017,780.64,929257
221104,60354,B2431.57,POWERED WHEELSET HVP A/B/C (ROT),3,24/07/2017,860.7,59128
221125,60775,B7650.28,TRAILING WHEELSET HVP A/B/C (ROT),1,24/07/2017,860.75,84758
221125,60775,M66040235,TRAILING WHEELSET HVP A/B/C (ROT),4,24/07/2017,860.62,84758
221133,60983,B3857.7,POWERED WHEELSET HVP A/B/C (ROT),2,24/07/2017,860.5,74451
221133,60983,B1722.46,POWERED WHEELSET HVP A/B/C (ROT),3,24/07/2017,860.7,74451
220034,60234,M66060129,TRAILING WHEELSET B5005 A/B (ROT),1,03/07/2017,780.8,95351
221107,60857,B6053.11,POWERED WHEELSET HVP A/B/C (ROT),3,03/07/2017,860.54,78975
221109,60859,M66040232,TRAILING WHEELSET HVP A/B/C (ROT),1,03/07/2017,860.5,98693
221120,60370,M66040009,TRAILING WHEELSET HVP A/B/C (ROT),1,03/07/2017,860.57,91194
221123,60373,M66020015,POWERED WHEELSET HVP A/B/C (ROT),2,03/07/2017,860.78,100906
221123,60373,B1722.27,POWERED WHEELSET HVP A/B/C (ROT),3,03/07/2017,860.72,100906
221102,60352,B3144.13,POWERED WHEELSET HVP A/B/C (ROT),3,02/05/2017,853.6,368921
221106,60756,M66020064,POWERED WHEELSET HVP A/B/C (ROT),2,17/04/2017,831.78,1195695
221134,60784,B3857.5,POWERED WHEELSET HVP A/B/C (ROT),2,24/10/2017,826.81,1153815
220021,60221,M66000151R,POWER WHEELSET B5005  (ROT),2,08/05/2017,780.6,147540
220021,60221,M66000222R,POWER WHEELSET B5005  (ROT),3,08/05/2017,780.7,147540
221111,60961,B3144.32,POWERED WHEELSET HVP A/B/C (ROT),2,08/05/2017,860.58,146663
221111,60961,B6651.61,POWERED WHEELSET HVP A/B/C (ROT),3,08/05/2017,860.45,147400
221137,60487,B3144.24,POWERED WHEELSET HVP A/B/C (ROT),2,08/05/2017,860.82,136713
221115,60365,B1722.9,POWERED WHEELSET HVP A/B/C (ROT),2,10/09/2017,851.12,1210159
221115,60365,B3857.27,POWERED WHEELSET HVP A/B/C (ROT),3,10/09/2017,852.3,1159559
221115,60865,M66040018,TRAILING WHEELSET HVP A/B/C (ROT),4,10/09/2017,838.8,635846
221115,60965,B6372.54,TRAILING WHEELSET HVP A/B/C (ROT),4,10/09/2017,850.13,336700
220014,60314,M66000149R,POWER SANDER WHEELSET B5005  (ROT),3,05/12/2016,780.83,239974
221129,60379,B3144.23,POWERED WHEELSET HVP A/B/C (ROT),2,05/12/2016,860.1,243167
221129,60379,B6053.83,POWERED WHEELSET HVP A/B/C (ROT),3,05/12/2016,860.41,243167
221140,60390,M66040144,TRAILING WHEELSET HVP A/B/C (ROT),1,05/12/2016,860.7,248668
221144,60794,M66040095,TRAILING WHEELSET HVP A/B/C (ROT),1,05/12/2016,860.1,#N/A
220034,60734,M66000064,POWER WHEELSET B5005  (ROT),3,26/05/2017,780.45,1330016
221113,60963,M66040323,TRAILING WHEELSET HVP A/B/C (ROT),4,26/05/2017,860.68,135116
221114,60764,B3857.29,POWERED WHEELSET HVP A/B/C (ROT),2,26/05/2017,860.41,1176538
221132,60782,M66040182,TRAILING WHEELSET HVP A/B/C (ROT),1,26/05/2017,860.53,122361
221133,60783,B2431.39,POWERED WHEELSET HVP A/B/C (ROT),2,26/05/2017,860.5,119424
221133,60783,B6651.79,POWERED WHEELSET HVP A/B/C (ROT),3,26/05/2017,860.5,120230
221129,60479,B2431.13,POWERED WHEELSET HVP A/B/C (ROT),3,13/06/2017,817.53,756649
220023,60223,M66000026,POWER WHEELSET B5005  (ROT),2,23/10/2017,780.57,19311
221102,60452,B1722.29,POWERED WHEELSET HVP A/B/C (ROT),2,23/10/2017,860.44,913798
221102,60452,B6651.77,POWERED WHEELSET HVP A/B/C (ROT),3,23/10/2017,860.56,16543
221106,60456,B2431.65,POWERED WHEELSET HVP A/B/C (ROT),2,23/10/2017,860.45,17712
221106,60456,B3144.15,POWERED WHEELSET HVP A/B/C (ROT),3,23/10/2017,860.45,17712
221142,60492,M66020032,POWERED WHEELSET HVP A/B/C (ROT),2,04/12/2016,839,479104
221119,60369,M66020073,POWERED WHEELSET HVP A/B/C (ROT),2,20/01/2017,860.58,1038828
220009,60409,M66000250R,POWER WHEELSET B5005  (ROT),2,16/06/2017,780.7,950537
221123,60873,M66040201,TRAILING WHEELSET HVP A/B/C (ROT),1,16/06/2017,860.72,112923
221123,60873,B4568.49,TRAILING WHEELSET HVP A/B/C (ROT),4,16/06/2017,860.46,112923
221103,60453,M66020030,POWERED WHEELSET HVP A/B/C (ROT),2,27/08/2017,842.18,582991
220028,60228,M66000178R,POWER WHEELSET B5005  (ROT),2,15/09/2017,780.63,0
221137,60887,B2431.47,POWERED WHEELSET HVP A/B/C (ROT),2,15/09/2017,860,41335
221137,60887,M66020122,POWERED WHEELSET HVP A/B/C (ROT),3,15/09/2017,860.3,41335
221117,60967,M66020069,POWERED WHEELSET HVP A/B/C (ROT),3,26/04/2016,820.86,1054402
221126,60476,B5373.8,POWERED WHEELSET HVP A/B/C (ROT),2,14/10/2017,805.27,1140531
220012,60212,M66060137,TRAILING WHEELSET B5005 A/B (ROT),4,07/06/2017,780.46,124654
220019,60419,M66060188G,TRAILING LGUARDWHEELSET B5005  (ROT),1,07/06/2017,780.45,126743
221103,60353,B4543.11,POWERED WHEELSET HVP A/B/C (ROT),3,07/06/2017,860.54,129377
221117,60767,B6053.10,POWERED WHEELSET HVP A/B/C (ROT),2,07/06/2017,860.5,131466
221117,60767,B3144.18,POWERED WHEELSET HVP A/B/C (ROT),3,07/06/2017,860.47,131466
221120,60870,M66020063,POWERED WHEELSET HVP A/B/C (ROT),2,07/06/2017,860.4,1249357
221131,60881,B1722.30,POWERED WHEELSET HVP A/B/C (ROT),3,07/06/2017,860.74,113953
221108,60358,B8314.9,POWERED WHEELSET HVP A/B/C (ROT),3,16/04/2017,844.99,497909
221113,60363,B7635.2,POWERED WHEELSET HVP A/B/C (ROT),2,16/05/2017,809.52,1108002
221127,60977,B5373.31,POWERED WHEELSET HVP A/B/C (ROT),3,20/07/2017,838.43,624866
221108,60458,B2431.46,POWERED WHEELSET HVP A/B/C (ROT),2,11/01/2017,810.33,1307621
220002,60302,M66000328RG,POWER SANDER WHEELSET B5005  (ROT),3,30/05/2017,780.5,127228
220007,60207,M66000289RG,POWER WHEELSET B5005  (ROT),3,30/05/2017,780.63,123200
220011,60711,M66000327RG,POWER WHEELSET B5005  (ROT),2,30/05/2017,780.52,127829
220011,60711,M66000240,POWER WHEELSET B5005  (ROT),3,30/05/2017,780.62,994984
221110,60960,M66020054,POWERED WHEELSET HVP A/B/C (ROT),2,30/05/2017,860.51,111910
221121,60871,B6651.65,POWERED WHEELSET HVP A/B/C (ROT),2,14/03/2017,830.09,827741
221106,60856,B5373.24,POWERED WHEELSET HVP A/B/C (ROT),2,18/10/2017,837.03,1342478
221131,60481,M66020100,POWERED WHEELSET HVP A/B/C (ROT),2,23/10/2017,817.71,427345
221113,60363,B7635.4,POWERED WHEELSET HVP A/B/C (ROT),3,06/11/2016,816.32,1287364
221107,60957,M66020108,POWERED WHEELSET HVP A/B/C (ROT),3,08/09/2017,849.06,205658
221126,60876,B3857.16,POWERED WHEELSET HVP A/B/C (ROT),2,10/07/2017,860.6,88206
221126,60876,B6651.32,POWERED WHEELSET HVP A/B/C (ROT),3,10/07/2017,860.7,88206
221140,60890,B6651.54,POWERED WHEELSET HVP A/B/C (ROT),2,10/07/2017,860.76,87394
221140,60890,B4543.24,POWERED WHEELSET HVP A/B/C (ROT),3,10/07/2017,860.65,87394
221128,60878,B7635.20,POWERED WHEELSET HVP A/B/C (ROT),3,19/06/2017,818.34,1304418
221142,60992,B6651.11,POWERED WHEELSET HVP A/B/C (ROT),2,25/09/2017,822.88,1173002
221128,60978,B3144.28,POWERED WHEELSET HVP A/B/C (ROT),3,28/05/2017,816.96,1309198
220029,60329,M66060231G,TRAILING LGUARDWHEELSET B5005  (ROT),1,15/05/2017,780.57,141348
220032,60232,M66000323RG,POWER WHEELSET B5005  (ROT),2,15/05/2017,780.65,131640
220032,60232,M66000322RG,POWER WHEELSET B5005  (ROT),3,15/05/2017,780.54,131640
221111,60761,B6053.51,POWERED WHEELSET HVP A/B/C (ROT),2,15/05/2017,860.7,1090881
221111,60761,B3144.33,POWERED WHEELSET HVP A/B/C (ROT),3,15/05/2017,860.09,145794
221111,60761,M66040082,TRAILING WHEELSET HVP A/B/C (ROT),1,15/05/2017,860.48,145794
221127,60477,B7635.16,POWERED WHEELSET HVP A/B/C (ROT),2,15/05/2017,860.74,1229515
221127,60477,B3857.54,POWERED WHEELSET HVP A/B/C (ROT),3,15/05/2017,860.86,140668
221117,60967,B5373.21,POWERED WHEELSET HVP A/B/C (ROT),2,13/03/2017,816.79,1129240
221131,60781,B5373.25,POWERED WHEELSET HVP A/B/C (ROT),3,08/06/2017,836.27,865898
221117,60467,B1722.43,POWERED WHEELSET HVP A/B/C (ROT),2,30/09/2017,852.07,273623
221117,60467,B6053.3,POWERED WHEELSET HVP A/B/C (ROT),3,30/09/2017,852.67,273623
